Track Type,Track Name,Length,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197
Perx,Kicks,4,,A,B,A,B,C,D,E,F,,,,,G,H,I,J,C,D,E,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perx,Snares,4,,A,B,C,D,E,F,G,H,,,,,I,J,K,L,E,F,G,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perx,Hats,4,,A,B,C,D,E,F,G,H,,,,,I,J,K,L,E,F,G,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perx,Ending Kicks,4,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,
Instruments,Kitty Kat Arpeggio Hi,4,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,E,F,G,H,,,,,,,,,,,,,,,,,,,,,
Instruments,Kitty Kat Arpeggio Lo,4,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,
Instruments,Arpeggio Main,4,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Arpeggio Accompaniment,4,,,,A,B,,,C,D,,,,,,,E,F,,,G,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Divanity Lead,4,,,,,,,,,,A,B,C,D,,,,,E,F,G,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Divanity Lead Harmony,4,,,,,,,,,,,A,B,C,,,,,,,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Vowel Pad,4,,,,,,,,,,,,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Wave Pad,4,,,,,,,,,,,,A,B,,,,,,,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Choir Pad,4,,,,,,,,,,,,A,B,,,,,,,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Bass,4,,A,B,C,D,E,F,G,H  ,,,,,I,J,K,L,M,N,O,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Noise Transitions,4,A,B,C,,,,,,D,,E,,,,,,,,,,F,,,,G+2,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Heartbeats,4,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Robot Growl,4,,A,B,C,D,,,,,E,F,,,,,,,G,H,I,J,K,L,M,N,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Crystal Drips,4,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Wind,4,,,,,,,,,,,,,,,A+2,,,,,,,,,,B+2,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Doppler,4,,,,,,,,,,,A+2,,,,,,,,B+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Espanol,4,,,,,,,,,,,A,B,,,,,,,,,,C,D,E,F,,,,,,,,,,,,,,,,,,,,,,,,,
