Track Type,Track Name,Length,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149
Perx,Big Drum Loop,4,,,,,A,B ,A,B,A,B ,A,B,A,B ,A,B,C,D,E,F,,,,,,,,,,,,,,,,,,
Perx,Sub Loop,4,,,,,,,,,,,,,,,,,,,,,A,A,A,A,B,C,D,E,F,G,H,I,,,,,,
Instruments,Boerse Chords,4,A,B,C,D,E,F,G,H,E,F,G,H,E,F,G,H,,,,,,,,,A,A,A,A,B,C,D,E,,,,,,
Instruments,Boerse Chords Acc,4,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Sine,4,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,
Instruments,Empire Chords,4,,,,,,,,,A,B,C,D,E,F,G,H,,,,,,,,,,,,,I,J,K,L,,,,,,
Instruments,Empire Wah,4,,,,,,,,,A,B,C,D,E,F,G,H,,,,,,,,,,,,,,,,,,,,,,
Instruments,Bell Choir,4,,,,,A,B,C,D,E,F,G,H,I,J,K,L,,,,,,,,,,,,,,,,,,,,,,
Instruments,Cyclical Arpeggio,4,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,
Instruments,Pluck Chords,4,,,,,,,,,,,,,,,,,,,,,A,B,C,D,E,F,G,H,I,J,K,L,,,,,,
Instruments,Water Chords,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,
Instruments,Frog Arpeggio,4,,,,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,
Vox,African Choir,4,,,,,,,,,A,B,C,D,E,F,G,H,,,,I+2,,,,,J+2,K+2,L+2,M+2,N+2,O+2,P+2,,,,,,,
Vox,High Vox,4,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
FX,Clinks,4,,,,A+2,B+2,A+2,B+2,A+2,B+2,A+2,B+2,A+2, ,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Sky Transition,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,X+2,,,,,,,,,,
FX,Crackles,4,,,,,,,,,,,,,,,,,,,,,,,,,A,B,A,B,A,B,A,B,,,,,,
FX,Splashes,4,,,,,,,,,,,,,,,,,,,,,,,,,A,B,A,B,A,B,A,B,,,,,,
FX,Rise Transition,4,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,
FX,Computer,4,,,,,,,,,,,,,,,,,,,,,,,A,B,,,,,,,,,,,,,,
FX,Frogs,4,,,,,,,,,,,,,,,,,,,,,,,,,A,B,C+2,,D,,E+2,,,,,,,
FX,Swamp,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,E,F,,,,
FX,Anvil,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,X+2,,,,,,,,,,
FX,End Climber,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
FX,Water Noises,4,A,B,D,D,,,,,,,,,,,,,,,,,,,E,F,,,,,,,,,,,,,,
