Track Type,Track Name,Length,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149
Instruments,Main Arpeggio 1,,,,,,,,,,,A,B,C,D,,,,,,A,B,C,D,E,,,,,,,,,,,,,,,
Instruments,Main Arpeggio 2,,,,,,,,,,,A,B,C,D,,,,,,A,B,C,D, ,,,,,,,,,,,,,,,
Instruments,Main Arpeggio 3,,,,,,,,,,,,,,,,,,,,,,,,A,B,,,,,,,,,,,,,,
Instruments,Round Lead,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Arctic Lead,,,,,,,A,B,C,D,,,,,E,F,G,H,I,,,,,,,,,,,,,,,,,,,,
Instruments,Hush Chords,,,A,A,A,A,B,C,D,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Daylight Piano,,,A,B,C,D,E,F,G,H,E,F,G,H,I,J,K,L,M,E,F,G,H,,N,O,,,,,,,,,,,,,
Instruments,Sphere Pad,,,,,,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,,,,,,,,,,,,,,
Instruments,Twinkle Piano,,A,,,B,C,D,E,F,G,,,,,,,,B,C,D,E,F,G,,,,,,,,,,,,,,,,
Instruments,Reverse Chord Swell,,A,,,,B,,,,C,,,,D,,,,,E,,,,,,,,,,,,,,,,,,,,
Vox,Ah,,,X,,X,,,,,,,,X+2, ,X,,X,,,,,,,,,,,,,,,,,,,,,,
Vox,Choo,,,A,B,C,,,,,D,,,,,,,,,,E,F,,,,,,,,,,,,,,,,,,
Vox,Ooo,,X,,X+2,,X+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Resonant Cymbal,,,,X+2,,X+2,,,,X+2,,,,,,,,,X+1,,,,,,,,,,,,,,,,,,,,
FX,Wind,,,,A+1,,A+1,,,,A+1,,,B,,,,C,,A+1,A+1,,,,,,,,,,,,,,,,,,,
FX,Thunder Drums,,,,,,,,,,,,,,,,,,X+2,,,,,,,,,,,,,,,,,,,,,
Perx,Cymbal FX,,,A,B,C,D,,,,,,,,,E,F,G,H,,,,,,,,,,,,,,,,,,,,,
Instruments,Ping,,,A,B,,,A,B,,,,,,,A,B,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Cellos,,,,,,,,,,,,,,,A,B,C,D,E,,,,,,,,,,,,,,,,,,,,
Instruments,White Dwarf,,,,,,,,,,,,,,,, ,X,,,,,,,,,,,,,,,,,,,,,,
Instruments,Strings Swell Saw,,,,,,,,,,,,,,,,,X+2,,,,,,,,,,,,,,,,,,,,,,
FX,Space Resonance,,,,,,,,,,A+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
