Track Type,Track Name,Length,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149
Instruments,Hypno Rev,,A,B,C,D,E,F,G,H,I,J,K,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Altered States,,,,,,,A,B,C,D,E,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Space Narration,,,,,A,B,C,D,E,F,G,H,I,J,,,,,,,,,,,,,,,,,,,,,,,,,
FX ,Space FX,,A,B,,,C,D,E,F,G,,,,,,A,B,,,,,,,,,,,,,,,,,,,,,,
FX,Big Hit Resonant,,,,,,X+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Scream Thing,,,,,,,,,,X+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Depth Bomb,,,,,,X+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Fly By,,,,,,X+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,War Explosion,,,,,,,,,,,,,,,A,B,,,,,,,,,,,,,,,,,,,,,,,
FX,Whale Call,,,,,,,,,X+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
