Track Type,Track Name,Length,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149
Perx,Kicks,,,,,,A,B,A,B,,,,,,,,,A,B,A,B,,,,,,,,,,,,,,,,,,
Perx,Hats,,,,,,A,B,A,B,,,,,,,,,C,D,C,D,,,,,,,,,,,,,,,,,,
Perx,Claps,,,,,,A,B,A,B,,,,,,,,,A,B,A,B,,,,,,,,,,,,,,,,,,
Perx,Tom Thing,,,,,,A,B,A,B,,,,,,,,,A,B,A,B,,,,,,,,,,,,,,,,,,
Instruments,Star Lead,,A,B,C,D,E,F,G,H,,,I,J,K,L,M,N,,,,,O,P,Q,R,,,S,,,,,,,,,,,
Instruments,Best Horn Accent,,,X+2,,,,X+2,,X+2,,,,X+2,,X+2,,X+2,,,,X+2,,,,X+2,,,,,,,,,,,,,,
Instruments,Best Horn Ever,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Moon Arpeggio,,A,A,A,A,,,,,B,B,C,D,E,E,F,G,,,,,,,,,,,,,,,,,,,,,,
Instruments,Hippie Chimes,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,
Instruments,Galactic Arpeggio,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,
Instruments,Tiny Lead,,,,A,B,,,,,,,,,,,A,B,,,,,,,,,,,,,,,,,,,,,,
Instruments,Helicopter Chords,,A,A,A,A,,,,,,,,,,B,C,D,,,,,,,,,,,,,,,,,,,,,,
Instruments,Wah Ping,,,,,,X,X,X,X,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,
Instruments,Growl Chords,,,,,,A,A,A,A,,,,,,,,,A,A,A,B,C,C,C,C,,,,,,,,,,,,,,
Instruments,Simple Phase Chords,,,,,,,,,,,,,,,,,,,,,,A,A,A,A ,B,C,D,,,,,,,,,,,
Instruments,Moon Accompaniment,,,,,,A,A,A,A,,,,,A,A,A,A,,,,,B,B,B,B,,,,,,,,,,,,,,
Instruments,Bowser Bass,,,,,,A,B,C,D,,,,,,,,,E,F,G,H,,,,,,,,,,,,,,,,,,
Instruments,Bowser Growl,,,,,,A,B,C,D,,,,,,,,,E,F,G,H,,,,,,,,,,,,,,,,,,
Instruments,Orchestra,,A,B,C,D,E,F,G,H,,,,,,,,,I,J,K,L,M,N,O,P,,,,,,,,,,,,,,
FX,Wild Rise,,,,,A+1,,B+1,,,,,,,,,,A+1,,B+1,,,,,,,,,,,,,,,,,,,,
Vox,Thank You,,,,,,A,B,C,D,,,,,,,E,F,G,H,I,J,,,,,,,,,,,,,,,,,,
FX,Breaths Chimes,,,,,A,B,C,D,E,,,,F,G,H,I,J,K,L,M,N,,,,,,,,,,,,,,,,,,
