Track Type,Track Name,Length,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149
Instruments,Space Level Flat,,A,B,C,D,E,F,G,H,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Space Level Distorted,,A,B,C,D,E,F,G,H,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Space Level Norm,,A,B,C,D,E,F,G,H,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Space Level Chamber,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perx,Bitch Drums,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Perx,Space Drums,,,,A,B,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Big Chime,,,,,X+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Vocoder,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Crystal Bells,,,,,,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Laser Swirl,,,,,,,,,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Dark Decay,,,,,,,,,,,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Movement,,,,A,B,C,,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Airplane Dive,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Square Rise,,,,,,,,A,B,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Screech Rise,,,,,,,,,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Dread Rise,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
