Track Type,Track Name,Length,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149
Perx,Kicks,,,,,,,,A,B,A,B,C,B,C,B,A,B,,,D,C,A,C,,,,,,,,,,,,,,,,
Perx,Sub Kicks,,,,,,,,,,,,,,,,,,,,,,,,,A,B,A,B,A,B,A,B,,,,,,,
Perx,Kicks Lo Cut,,,,A,B,A,B,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,
Perx,Tom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perx,Claps,,,,A,,A,,B,,,,,,A,,A,,,,,,,C,D,C,D,D,D,C,D,D,D,,,,,,,
Perx,Laser Loop,,,,X,X,X,X,,,X,X,,,X,X,X,X,,X,X,X,X,,,,,,,,,,,,,,,,,
Perx,Tom Loop,,,,,,A,B,A,C,A,B,,,A,C,A,C,,A,C,,,,,,,,,,,,,,,,,,,
Perx,Rattle,,,A+2,,,,,B,,C,,B,,C,,B,,,,D+2,,,B,,,,B,,,,B,,,,,,,,
Instruments,Acid Lead,,,,,,A,B,C,D,E,F,G,H,I,J,K,L,,,M,N,O,P,Q,,,,,,,,,,,,,,,
Instruments,Gorilla Lead,,,,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,
Instruments,Scorpion Descent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,
Instruments,Dog Woop,,,,,,A+2,,,,,,,,,,,,B,C,D,,,,,E,F,E,E,E,E,E,E,,,,,,,
Perx,Hop Loop,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,B,C,C,C,D,,,,,,,
Perx,Wood Hats,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,B,A,A,A,B,,,,,,,
Vox,Echo Loop,,,,A,B,A,B,A,B,A,C,A,C,A,B,D,E,F,G,H,,,,,,,,,,,,,,,,,,,
FX,Hypno,,,,,,,,,,,,,A,,A+2,,,,,,A+2,B+2,C+2,,,,,,,,,,,,,,,,
FX,Atmo Spill,,,,,,,,,,X+2,,,,X+2,,,,,,,X+2,,,,,,,,,,,,,,,,,,
FX,Ninja Stars,,,A,,,,,B+2,B+2,B+2,B+2,,,B+2,B+2,,,B+2,B+2,,B+2,B+2,B+2,B+2,,,,B+2,B+2,,,B+2,B+2,,,,,,
FX,Shepherd Tone,,,,,,,,,,,,,,,,,,A,B,C,,,,,,,,,,,,,,,,,,,
FX,Uplifter,,,,,,,,,,,,,,,,,,,,A,,,B,C,D,E,D,E,,,,,,,,,,,
FX,Impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X+3,,,,,,,
FX,Impact Galaxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X+3,,,,,,,
FX,Short Transition,,,,,,,,,,,,,,,,,,,,,,,,X+2,,,,,,,,,,,,,,,
