Track Type,Track Name,Length,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197
Perx,Bitch Drums,,,,,,A,B,A,B,A,B,A,B,,,,,A,B,A,B,A,B,A,B,,,,A,B,C,B,A,B,A,,,,,,,,,,,,,,,,
Perx,Kicks,,,,,,A,B,A,B,A,B,A,B,,,,,A,B,A,B,A,B,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Perx,Hats,,,,,,A,B,A,B,A,B,A,B,,,,,A,B,A,B,A,B,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Perx,Claps,,,,,,A,B,A,B,A,B,A,B,,,,,A,B,A,B,A,B,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Perx,Trill Snaps,,X+2,,X+2,X+2,X+2,,X+2,X+2,X+2,X+2,X+2,X+2,,X+2,,,X+2,X+2,X+2,X+2,X+2,X+2,X+2,X+2,X+2,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Callisto,,A,B,C,D,E,F,G,H,I,J,K,L,,,M,N,O,P,Q,R,S,T,U,V,W,Y,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Angel Wings,,,,,,,,,,,,,,,,,,A,B,C,D,E,F,G,H,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Icicles,,,,,,,,,,,,,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Sine Bass,,,,,,A,B,A,B,A,B,A,B,,,,,A,B,A,B,A,B,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Callisto 2,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Harmonic Particles ,,,,,,,,,,,,A,B,,,C,D,,,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vox,Kelly Simple,,,,A,B,C,D,C,D,E,F,G,H,,,,,I,J,I,J,K,L,K,L,,,,,,,,,,,,,,,,,,,,,,,,,,
Vox,Kelly Lead,,,,,,,,,,A,B,C,D,,,,,,,,,A,B,E,F,G,H,,,,,,,,,,,,,,,,,,,,,,,,
FX,Dream Unraveling,,A,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Wow Textures,,,,A,B,,,A,B,,,A,B,,,A,B,,,A,B,,,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Smash Noise,,,,,,X,,,X,,,,,X,,,,X,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perx,Bowser Ending Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,E,D,E,D,E,,,,,,,,,,,,,,,
Instruments,Bowser Ending Lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,
Instruments,Bowser Ending Grind,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,A,B,C,D,E,F,G,H,,,,,,,,,,,,,,,
Instruments,Bowser Ending Accessory,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Bowser Ending Chords,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,A,,,,,,,,,,,,,,,,,,,
FX,Think Twice,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,B,C,D,E,F,G,H,I,,,,,,,,,,,,,,
