Track Type,Track Name,Length,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197
Perx,Kicks,,,A,,,,B,C,B,D,E,F,G,G,H,G,A,,,,,,,,,,G,G,H,G,A,,,,,,,,,,,,,,,,,,,,
FX,Reverse Vox Swell,,,,A+2,,B+2,C+3,,D,E,,B+2,,D,D,E,,,,,,,F+2,A+2,,G,D,D,E,E,,,,,,,,,,,,,,,,,,,,,
Perx,Stick Echo,,,X,X,X,X,X,,X,X,,X,X,X,X,,X,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,
Perx,Rides,,,A,B,A,B,C,D,E,F,,,E,F,G,H,,,,,,,I,J,,,E,F,G,H,,,,,,,,,,,,,,,,,,,,,
Perx,Echo Claps,,,,,,,A,A,B,B,,,B,B,C,A,,,,,,,,,,,B,B,C,A,,,,,,,,,,,,,,,,,,,,,
Perx,Crash,,,,,A,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perx,Claps,,,,,,,A,B,A,A,,,A,A,C,A,,,,,,,,,,,A,A,C,A,,,,,,,,,,,,,,,,,,,,,
Instruments,Main Vocoder,,,A,A,B,B,C,D,E,F,G,H,I,J,K,L,,,,,,,M,M,N,O,P,Q,R,S,,,,,,,,,,,,,,,,,,,,,
Instruments,Vocoder Friend,,,,,,,A,B,C,D,,,E,F,G,H,,,,,,,,,I,J,K,L,M,N,,,,,,,,,,,,,,,,,,,,,
FX,Laser Cymbal,,,,,,,A,,,,,,A,,,A,B,,B,,B,,B,,B,,A,,,A,A,,,,,,,,,,,,,,,,,,,,
FX,Laser Spill,,,,,,,,,,,,,,,A+3,,,,,,,,,,,B+3,,C+3,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Morphcoder,,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Mellotron Choir,,,,,,,,,,,,,,,,,A,B,C,D,E,F,,,,,,,,,G,H,,,,,,,,,,,,,,,,,,,
Instruments ,Mellotron Strings,,,,,,,,,,,,,,,,,,A,B,C,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Horns,,,,,,,,,,,,,,,,,A,B,C,D,E,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Strings,,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Rising Voices,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Growl Bass,,,,,,,A,A,B,C,,,B,C,D,E,F,G,H,I,J,K,L,,,,B,C,D,E,,,,,,,,,,,,,,,,,,,,,
FX,Quick Swell,,,,,,,,,,,,,,,A+3,B,,,,,,,,,,,,,A+3,B,,,,,,,,,,,,,,,,,,,,,
FX,Pluck,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
Vox,Countdown,,A,,,,B,,,,,C,D,,,,,,,,,E,,,,F,G,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Lead Guitar,,,,,,,,,,E,,,A,B,C,D,,,,,,,,,,,F,G,H,I,,,,,,,,,,,,,,,,,,,,,
FX,Scream Rise,,,,,,,,,,,,,,,,,,,,,,,,,A,B,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Sigh Sisters,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,
Instruments,Cosmic Boys,,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,
Perx,Explode FX,,,,,,,A,B,C,D,,,E,F,G,H,,,,,,,,,I,J,K,L,M,N,,,,,,,,,,,,,,,,,,,,,
FX,Electricity,,A,,,,A,B+2,B+2,B+3,B+3,,A,C+1,C+1,C+1,C+1,,,,,,,,,D,E,F+1,F+1,F+1,F+1,,,,,,,,,,,,,,,,,,,,,
FX,Think Twice,,,,,,,,,A+1,B+1,,, ,,A+1,C+1,,,,,,,,,,,,,D+1,E+1,,,,,,,,,,,,,,,,,,,,,
FX,Deep Growl,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
