Track Type,Track Name,Length,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197
Perx,Pattern Kit,,,,,,,,,,A,A,A,A,A,A,A,B,,,,,C,C,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Perx,Dank Kit,,,,,,,,,,,,,,,,,,,,,A+3,B,B,B,C,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Sweetlights Chords,,A,B,C,D,E,F,G,H,A,B,C,D,E,F,G,I,,,,,,,,,J,K,L,M,N,O,P,,,,,,,,,,,,,,,,,,,
Instruments,Water Voice,,,,,,,,,,,,,,A,B,C,D,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Cheerful Voice,,,,,,,,,,A,B,C,D,E,F,G,H ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Winter Chords,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Squarest Organ,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Vista,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Lone Soul Choir,,,,,,,,,,,,,,,,,,,,A,B,C,D,E,F,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Chipper Birds,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,C,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Childhood Chords,,,,,,,,,,,A,B,C,D,E,F,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Water Chords,,,,,,,,,,,,,,,,,,A,B,C,D,E,F,G,H,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Long Bass,,,,,,,,,,,,,,,,,,A,B,C,D,E,F,G,H,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruments,Kitty Kat Lead,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Flyby,,,,,,,,,X+3,,,,,,,,X+3,,,,X+3,,,,X+3,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Think Twice,,,,,,,,,,,,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Computer Textures,,,,,,,,,,A,B,C,A,B,C,A,B,,,,,A,B,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Static Rise,,,,,,,,,,,,,,,A,B,C,,,,,,A,B,D,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,Empty Space,,,,,,,,,,,,,,,,,,A,B,C,D,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,
FX,External Hard Drive,,,,,,,,,,,,,,,,,A,,,,B+3,C,D,E,F,G,H,I,J,K,L,,,,,,,,,,,,,,,,,,,,
